name,comment
Ninetynine,我想要。。。。
不再是萌新,新版视频做的更好了。。。然后想帮女朋友要一张[捂脸][捂脸]
魏浩南,想去 [欢呼]
仗剑出白雪,大佬，我想要~！
凯恩博,送我吧[惊喜][握手]
天涯羽伏麟,想要！！[赞同]
Caspar,举手🙋‍♂️想去
zc-brant,想要，老铁
lavoro,想要!
这条咸鱼好咸啊,大佬瞩目
如果有来生,想要
Austin,啊啊啊想要！
小伙子稳的,rua，想要
shengvaxy,想要[大笑][酷][大笑][大笑]
踏破惊雷又为谁,想要，关注你很久了~
酒厂二锅头,想要[赞同]
请您安静点,啊，想要
Shawn Tsien,我要申请，谢谢！
雪子,想要[爱]
xjd1,想要但充满了更多的未知与好奇。
当里个当,既然你送票不参加，那就证明这种形式高大上吹吹捧捧的会议没啥意思，别送我，我也不要…
刘晓庭,您好，我看过您的文章，很棒，可以送我一张票吗，我对这个活动有兴趣[赞同]
大猩猩,加一
喜欢井的鱼,想要
请叫我阿一,我也想要[可怜]
石上清泉,想要票[微笑]
天月,大大，我我我我想要[可怜]
fff.zrx,举手！！🐵🐵
白雨桐,🙋🏻
声色犬马,那时候应该在深圳，报名要一张哈
端木醉蝶,还能拿票嘛
邱志,大佬想要一张，不知是否有幸能在会上看到你呀
Brody,谢谢分享，期待参加。
向心力,我来减小中奖概率[小情绪]
云遇三千,[赞同]
走吧,深圳哦，去不了，我哥在，中了就给他去
我想死,要要要
1973,举手🙌🙌🙌
金希之,报名
无往,举手。我应该是你众多粉丝数中比较特殊的那一类。
木天磊,🤚🤚我会是那个幸运者吗……试试呗
思学,应该不会砸偏吧[思考][思考]
刘梳雨,举手，大大我在b站给你充电惹！(๑• . •๑)
泽一,咋抽幸运者？
凤凰社,想参加
矛乜,机械，机器人，人工智能，2020年的毕业设计想做这方面的。
Mirs,举爪举爪
郑谨立,我要我要，占位[调皮][爱]
AFreeMan,想要[笔芯]
奕君君君,想要想要
Hanjie WU,想要想要[看看你][看看你]
lgc,我要我要，我是做机器人的
l will,随机难道与我有缘？
忘川,想要啊
charming,想要想要
XBCoder,哇！这么棒
心语,🙋‍想要！
司空月,老哥终于又更新了，小板凳坐上
一二三,想要[赞同][赞同][赞同]
Bee,拉低中奖率
星空,拉低中奖？
达瓦里氏劳斯基,这里 可以吗
小沐,要票
Soldier,要票
迷鹿,随机的吗，那我会不会是幸运的那一个[捂嘴]
阿牧,选择AI是大势所趋啊，送张票吧，不知道能否见博主一面
素清平,随机，我想去耶。无论怎样，先谢谢您啦[赞同]
kiki,随机哟
谢行,有一点概率就有一点希望
徐昊旻,在深圳，想要票
棠梨煎雪,学长好，想要票
热诚,大二学生想要票。竟然把自己的票送出去，不管怎样，先说声谢谢啦[害羞][害羞]
无常,顺其自然，得之我幸，不得我命。
凌波微步,随缘，非常想去，谢谢
无间有三,想要，但是顺其自然[酷]
断鸿,想要票，收藏大佬的文章好久了
聪明的人,想去想去想去[爱心]
鱼鱼鱼鱼鱼y3,虽然听不懂，但是还是好想去现场
Robin.QY,在深圳，想要票
吻红尘,base深圳，想去听
紫苏,想去想去，好运+++
LittleStar,失之我命，得之我幸[赞同][赞同]
神无月,万一呢
凌云,想要
YOU,我我我我我，想去！！！[大哭]
peterhe,我好想去[捂脸][捂脸][捂脸]
而亦,举手举手举手~~如果中了我就马上去请假买票打包行李[爱]
赫赫赫,举个手
白家,学长好
junko,爱ai呦，要去看看，嘿嘿嘿(º﹃º )
竹马君,举手手
A比C低,想去，但刚刚高中毕业，去了也听不懂[捂脸][捂脸][捂脸]
无极宇,想去[可怜]
光之君王,举手🙌
进击的巨人LJ,不知道还有没有机会？
